year,samples,races,model_logloss,market_logloss,model_brier,market_brier,logloss_rel_improve_pct_vs_market
2024,47181,3454,0.20069613661251495,0.20245371261540174,0.05705757200374506,0.05737685383498445,0.8681372053796935
2025,47884,3455,0.2011259586776484,0.20314830257215752,0.056982878418678315,0.057354749315477974,0.9955012515011228
2026,5411,378,0.1985052238857164,0.19964858104191738,0.0557570714752078,0.05587445284151362,0.5726848396487856
overall,100476,7287,0.20078298890562118,0.20263366781410758,0.05695193845954295,0.05728540966336418,0.9133126436738889
