year,samples,races,model_logloss,market_logloss,model_brier,market_brier,logloss_rel_improve_pct_vs_market
2024,47181,3454,0.20058730929004118,0.20245371261540174,0.05702675775669308,0.05737685383498445,0.9218913801329683
2025,47884,3455,0.20109151066133976,0.20314830257215752,0.05696226036201765,0.057354749315477974,1.0124583295925853
2026,5411,378,0.19856265407766924,0.19964858104191738,0.05574304495333859,0.05587445284151362,0.5439191997162975
overall,100476,7287,0.20071856221719905,0.20263366781410758,0.05692688750682655,0.05728540966336418,0.9451073050039274
