year,model_logloss_b0,model_brier_b0,model_logloss_b1,model_brier_b1,logloss_improve_pct_b1_vs_b0,brier_delta_b1_minus_b0
2024,0.20069613661251495,0.05705757200374506,0.20058730929004118,0.05702675775669308,0.05422492147115376,-3.0814247051980104e-05
2025,0.2011259586776484,0.056982878418678315,0.20109151066133976,0.05696226036201765,0.01712758339854698,-2.06180566606623e-05
2026,0.1985052238857164,0.0557570714752078,0.19856265407766924,0.05574304495333859,-0.028931325246081926,-1.4026521869214825e-05
overall,0.20078298890562118,0.05695193845954295,0.20071856221719905,0.05692688750682655,0.03208772255722081,-2.505095271640445e-05
